gelma_concentration,cure_adhesive,adhesive_concentration,light_cure_time,print_speed (mm/min),size_of_tip,thickness (mm),CD44,JARID2,MYC,SEV
0.1,I2959,0.0025,30,1500,27G,2,40,24.96,26.91,40
0.1,I2959,0.0025,50,1500,27G,2,40,24.88,26.94,40
0.1,I2959,0.0025,70,1500,27G,2,40,24.82,26.96,40
0.1,I2959,0.0025,90,1500,27G,2,40,26.54,27.21,40
0.125,I2959,0.0025,30,1500,27G,2,40,26.44,26.98,40
0.125,I2959,0.0025,50,1500,27G,2,40,24.93,27.19,40
0.125,I2959,0.0025,70,1500,27G,2,40,24.78,26.96,40
0.125,I2959,0.0025,90,1500,27G,2,40,25.84,27.34,40
0.15,I2959,0.0025,30,1500,27G,2,40,25.41,26.97,40
0.15,I2959,0.0025,50,1500,27G,2,40,24.94,27.06,40
0.15,I2959,0.0025,70,1500,27G,2,40,25.25,27.77,40
0.15,I2959,0.0025,90,1500,27G,2,40,25.5,27.09,40
0.175,I2959,0.0025,30,1500,27G,2,40,25.52,26.87,40
0.175,I2959,0.0025,50,1500,27G,2,40,25.23,27.46,40
0.175,I2959,0.0025,70,1500,27G,2,40,24.77,27.16,40
0.175,I2959,0.0025,90,1500,27G,2,40,26.08,26.82,40
0.1,I2959,0.005,30,1500,27G,2,40,25.12,26.97,40
0.1,I2959,0.005,50,1500,27G,2,40,24.79,26.97,40
0.1,I2959,0.005,70,1500,27G,2,40,24.93,27.22,40
0.1,I2959,0.005,90,1500,27G,2,40,24.98,27.33,40
0.125,I2959,0.005,30,1500,27G,2,40,25.49,27.06,40
0.125,I2959,0.005,50,1500,27G,2,40,24.72,27.43,40
0.125,I2959,0.005,70,1500,27G,2,40,24.62,27.26,40
0.125,I2959,0.005,90,1500,27G,2,40,26.64,27.79,40
0.15,I2959,0.005,30,1500,27G,2,40,24.9,26.94,40
0.15,I2959,0.005,50,1500,27G,2,40,26.66,28.22,40
0.15,I2959,0.005,70,1500,27G,2,40,26.96,28.64,40
0.15,I2959,0.005,90,1500,27G,2,40,25.41,26.9,40
0.175,I2959,0.005,30,1500,27G,2,40,25.33,27.28,40
0.175,I2959,0.005,50,1500,27G,2,40,26.25,28.07,40
0.175,I2959,0.005,70,1500,27G,2,40,25.75,28.14,40
0.175,I2959,0.005,90,1500,27G,2,40,24.9,26.93,40
0.1,LAP,0.0025,30,1500,27G,2,,,,
0.1,LAP,0.0025,50,1500,27G,2,,,,
0.1,LAP,0.0025,70,1500,27G,2,,,,
0.1,LAP,0.0025,90,1500,27G,2,,,,
0.125,LAP,0.0025,30,1500,27G,2,,,,
0.125,LAP,0.0025,50,1500,27G,2,,,,
0.125,LAP,0.0025,70,1500,27G,2,,,,
0.125,LAP,0.0025,90,1500,27G,2,,,,
0.15,LAP,0.0025,30,1500,27G,2,,,,
0.15,LAP,0.0025,50,1500,27G,2,,,,
0.15,LAP,0.0025,70,1500,27G,2,,,,
0.15,LAP,0.0025,90,1500,27G,2,,,,
0.175,LAP,0.0025,30,1500,27G,2,,,,
0.175,LAP,0.0025,50,1500,27G,2,,,,
0.175,LAP,0.0025,70,1500,27G,2,,,,
0.175,LAP,0.0025,90,1500,27G,2,,,,
0.1,LAP,0.005,30,1500,27G,2,,,,
0.1,LAP,0.005,50,1500,27G,2,,,,
0.1,LAP,0.005,70,1500,27G,2,,,,
0.1,LAP,0.005,90,1500,27G,2,,,,
0.125,LAP,0.005,30,1500,27G,2,,,,
0.125,LAP,0.005,50,1500,27G,2,,,,
0.125,LAP,0.005,70,1500,27G,2,,,,
0.125,LAP,0.005,90,1500,27G,2,,,,
0.15,LAP,0.005,30,1500,27G,2,,,,
0.15,LAP,0.005,50,1500,27G,2,,,,
0.15,LAP,0.005,70,1500,27G,2,,,,
0.15,LAP,0.005,90,1500,27G,2,,,,
0.175,LAP,0.005,30,1500,27G,2,,,,
0.175,LAP,0.005,50,1500,27G,2,,,,
0.175,LAP,0.005,70,1500,27G,2,,,,
0.175,LAP,0.005,90,1500,27G,2,,,,
